danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,audio_features,5w9c2J52mkdntKOmRLeM2m,spotify:track:5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/tracks/5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,193227,4
0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,audio_features,3KkXRkHbMCARz0aVfEt68P,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,158040,4
0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,audio_features,4y3OI86AEP6PQoDE6olYhO,spotify:track:4y3OI86AEP6PQoDE6olYhO,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,181040,4
0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998,audio_features,6Qs4SXO9dwPj5GKvVOv8Ki,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,171030,4
0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,audio_features,5iwz1NiezX7WWjnCgY5TH4,spotify:track:5iwz1NiezX7WWjnCgY5TH4,https://api.spotify.com/v1/tracks/5iwz1NiezX7WWjnCgY5TH4,https://api.spotify.com/v1/audio-analysis/5iwz1NiezX7WWjnCgY5TH4,238200,4
0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,audio_features,5W83ErFkO3aKAIS1WMi6u0,spotify:track:5W83ErFkO3aKAIS1WMi6u0,https://api.spotify.com/v1/tracks/5W83ErFkO3aKAIS1WMi6u0,https://api.spotify.com/v1/audio-analysis/5W83ErFkO3aKAIS1WMi6u0,258800,4
0.572,0.385,7,-6.362,1,0.0308,0.371,0,0.231,0.323,95.799,audio_features,2VxeLyX666F8uXCJ0dZF8B,spotify:track:2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,215733,4
0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,audio_features,2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214290,4
0.816,0.754,11,-2.75,0,0.111,0.0361,0,0.217,0.533,99.966,audio_features,7uH27oIt4a6cIFCA8ZPcyG,spotify:track:7uH27oIt4a6cIFCA8ZPcyG,https://api.spotify.com/v1/tracks/7uH27oIt4a6cIFCA8ZPcyG,https://api.spotify.com/v1/audio-analysis/7uH27oIt4a6cIFCA8ZPcyG,158400,4
0.708,0.418,0,-10.998,1,0.368,0.308,0.093,0.1,0.578,131.926,audio_features,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088,4
0.767,0.709,1,-4.47,1,0.336,0.323,0,0.0676,0.72,171.993,audio_features,6FyRXC8tJUh863JCkyWqtk,spotify:track:6FyRXC8tJUh863JCkyWqtk,https://api.spotify.com/v1/tracks/6FyRXC8tJUh863JCkyWqtk,https://api.spotify.com/v1/audio-analysis/6FyRXC8tJUh863JCkyWqtk,258639,4
0.778,0.317,1,-10.732,0,0.334,0.592,0,0.0881,0.327,140.048,audio_features,6ocbgoVGwYJhOv1GgI9NsF,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,178627,4
0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,audio_features,116H0KvKr2Zl4RPuVBruDO,spotify:track:116H0KvKr2Zl4RPuVBruDO,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,210368,4
0.841,0.798,1,-4.206,0,0.229,0.153,3.33e-06,0.0618,0.591,95.948,audio_features,4w8niZpiMy6qz1mntFA5uM,spotify:track:4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,212500,4
0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,audio_features,31UjYv5vLsDkzchJOtUMtW,spotify:track:31UjYv5vLsDkzchJOtUMtW,https://api.spotify.com/v1/tracks/31UjYv5vLsDkzchJOtUMtW,https://api.spotify.com/v1/audio-analysis/31UjYv5vLsDkzchJOtUMtW,184436,4
0.709,0.771,7,-4.598,1,0.166,0.146,3.29e-06,0.249,0.709,174.006,audio_features,0s5DNDV6LAKn2u2Ufa3VjQ,spotify:track:0s5DNDV6LAKn2u2Ufa3VjQ,https://api.spotify.com/v1/tracks/0s5DNDV6LAKn2u2Ufa3VjQ,https://api.spotify.com/v1/audio-analysis/0s5DNDV6LAKn2u2Ufa3VjQ,204453,4
0.541,0.468,10,-4.039,0,0.362,0.404,3.65e-06,0.358,0.69,95.266,audio_features,1WSGTYKLEpKfNQYYW5Oymt,spotify:track:1WSGTYKLEpKfNQYYW5Oymt,https://api.spotify.com/v1/tracks/1WSGTYKLEpKfNQYYW5Oymt,https://api.spotify.com/v1/audio-analysis/1WSGTYKLEpKfNQYYW5Oymt,158027,4
0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,audio_features,059bcIhyc2SBwm6sw2AZzd,spotify:track:059bcIhyc2SBwm6sw2AZzd,https://api.spotify.com/v1/tracks/059bcIhyc2SBwm6sw2AZzd,https://api.spotify.com/v1/audio-analysis/059bcIhyc2SBwm6sw2AZzd,231848,4
0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,audio_features,224EVTFiLsdQignUFLvDeH,spotify:track:224EVTFiLsdQignUFLvDeH,https://api.spotify.com/v1/tracks/224EVTFiLsdQignUFLvDeH,https://api.spotify.com/v1/audio-analysis/224EVTFiLsdQignUFLvDeH,360960,4
0.771,0.382,1,-6.808,0,0.0514,0.148,0,0.104,0.535,94.931,audio_features,5BDP2tky8oMQJPS33frKVp,spotify:track:5BDP2tky8oMQJPS33frKVp,https://api.spotify.com/v1/tracks/5BDP2tky8oMQJPS33frKVp,https://api.spotify.com/v1/audio-analysis/5BDP2tky8oMQJPS33frKVp,164440,4
0.79,0.631,8,-5.549,0,0.0425,0.437,0,0.158,0.889,94.039,audio_features,1LiN0Z98FkR1t0m8KmLcAH,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,https://api.spotify.com/v1/tracks/1LiN0Z98FkR1t0m8KmLcAH,https://api.spotify.com/v1/audio-analysis/1LiN0Z98FkR1t0m8KmLcAH,190005,4
0.788,0.771,4,-3.206,0,0.0563,0.291,5.62e-05,0.172,0.701,99.038,audio_features,6MJUCumnQsQEKbCy28tbCP,spotify:track:6MJUCumnQsQEKbCy28tbCP,https://api.spotify.com/v1/tracks/6MJUCumnQsQEKbCy28tbCP,https://api.spotify.com/v1/audio-analysis/6MJUCumnQsQEKbCy28tbCP,207853,4
0.75,0.665,8,-3.083,1,0.124,0.265,0,0.0515,0.697,95.239,audio_features,3f5lA8nnc4YYF1qf78WpHw,spotify:track:3f5lA8nnc4YYF1qf78WpHw,https://api.spotify.com/v1/tracks/3f5lA8nnc4YYF1qf78WpHw,https://api.spotify.com/v1/audio-analysis/3f5lA8nnc4YYF1qf78WpHw,219357,4
0.805,0.671,5,-5.316,1,0.111,0.113,0,0.278,0.522,90.979,audio_features,3g4UyIcQwutiG0TfW32GnX,spotify:track:3g4UyIcQwutiG0TfW32GnX,https://api.spotify.com/v1/tracks/3g4UyIcQwutiG0TfW32GnX,https://api.spotify.com/v1/audio-analysis/3g4UyIcQwutiG0TfW32GnX,219302,4
0.747,0.74,4,-4.325,0,0.191,0.0165,9.94e-05,0.101,0.552,176.059,audio_features,2D3z17LBMJ2HEHeBFFjTLi,spotify:track:2D3z17LBMJ2HEHeBFFjTLi,https://api.spotify.com/v1/tracks/2D3z17LBMJ2HEHeBFFjTLi,https://api.spotify.com/v1/audio-analysis/2D3z17LBMJ2HEHeBFFjTLi,158800,4
0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,audio_features,4u7EnebtmKWzUH433cf5Qv,spotify:track:4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv,354320,4
0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,audio_features,6WkJ2OK163XXS2oARUC9JM,spotify:track:6WkJ2OK163XXS2oARUC9JM,https://api.spotify.com/v1/tracks/6WkJ2OK163XXS2oARUC9JM,https://api.spotify.com/v1/audio-analysis/6WkJ2OK163XXS2oARUC9JM,198053,4
0.8,0.74,10,-4.52,0,0.0479,0.184,0,0.0558,0.775,90.035,audio_features,7BuHdm4lQqcyG3qTwdkxus,spotify:track:7BuHdm4lQqcyG3qTwdkxus,https://api.spotify.com/v1/tracks/7BuHdm4lQqcyG3qTwdkxus,https://api.spotify.com/v1/audio-analysis/7BuHdm4lQqcyG3qTwdkxus,226200,4
0.715,0.872,6,-3.501,1,0.0547,0.154,0.000146,0.11,0.682,96.939,audio_features,1mT47pKLXUwPYGwB91GcNz,spotify:track:1mT47pKLXUwPYGwB91GcNz,https://api.spotify.com/v1/tracks/1mT47pKLXUwPYGwB91GcNz,https://api.spotify.com/v1/audio-analysis/1mT47pKLXUwPYGwB91GcNz,212493,4
0.8,0.355,6,-10.47,0,0.0895,0.616,0,0.118,0.253,145.929,audio_features,7dNwJbsT0sg1le5kVugGJb,spotify:track:7dNwJbsT0sg1le5kVugGJb,https://api.spotify.com/v1/tracks/7dNwJbsT0sg1le5kVugGJb,https://api.spotify.com/v1/audio-analysis/7dNwJbsT0sg1le5kVugGJb,228493,4
0.888,0.395,8,-14.645,1,0.324,0.752,0.14,0.106,0.162,120.058,audio_features,4SSnFejRGlZikf02HLewEF,spotify:track:4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,193143,4
0.724,0.791,7,-5.411,1,0.169,0.0441,6.55e-06,0.239,0.856,176.011,audio_features,2ktoFujjJtantyMoVdBJlX,spotify:track:2ktoFujjJtantyMoVdBJlX,https://api.spotify.com/v1/tracks/2ktoFujjJtantyMoVdBJlX,https://api.spotify.com/v1/audio-analysis/2ktoFujjJtantyMoVdBJlX,256418,4
